name,partyName,state,chamber,congress,last_name
"Faso, John J.",Republican,New York,House of Representatives,115,Faso
"Kihuen, Ruben J.",Democratic,Nevada,House of Representatives,115,Kihuen
"Lewis, Jason",Republican,Minnesota,House of Representatives,115,Lewis
"Mitchell, Paul",Independent,Michigan,House of Representatives,115,Mitchell
"Rooney, Francis",Republican,Florida,House of Representatives,115,Rooney
"Donovan, Daniel M., Jr.",Republican,New York,House of Representatives,115,Donovan
"Perdue, David",Republican,Georgia,Senate,115,Perdue
"Jenkins, Evan H.",Republican,West Virginia,House of Representatives,115,Jenkins
"Comstock, Barbara",Republican,Virginia,House of Representatives,115,Comstock
"Hurd, Will",Republican,Texas,House of Representatives,115,Hurd
"Ratcliffe, John",Republican,Texas,House of Representatives,115,Ratcliffe
"Costello, Ryan A.",Republican,Pennsylvania,House of Representatives,115,Costello
"Russell, Steve",Republican,Oklahoma,House of Representatives,115,Russell
"MacArthur, Thomas",Republican,New Jersey,House of Representatives,115,MacArthur
"Walker, Mark",Republican,North Carolina,House of Representatives,115,Walker
"Trott, David A.",Republican,Michigan,House of Representatives,115,Trott
"Bishop, Mike",Republican,Michigan,House of Representatives,115,Bishop
"Poliquin, Bruce",Republican,Maine,House of Representatives,115,Poliquin
"Abraham, Ralph Lee",Republican,Louisiana,House of Representatives,115,Abraham
"Young, David",Republican,Iowa,House of Representatives,115,Young
"Blum, Rod",Republican,Iowa,House of Representatives,115,Blum
"Curbelo, Carlos",Republican,Florida,House of Representatives,115,Curbelo
"Walters, Mimi",Republican,California,House of Representatives,115,Walters
"Knight, Stephen",Republican,California,House of Representatives,115,Knight
"McSally, Martha",Republican,Arizona,House of Representatives,115,McSally
"Brat, Dave",Republican,Virginia,House of Representatives,115,Brat
"Byrne, Bradley",Republican,Alabama,House of Representatives,115,Byrne
"Kennedy, Joseph P., III",Democratic,Massachusetts,House of Representatives,115,Kennedy
"Heck, Denny",Democratic,Washington,House of Representatives,115,Heck
"O'Rourke, Beto",Democratic,Texas,House of Representatives,115,O'Rourke
"Rothfus, Keith J.",Republican,Pennsylvania,House of Representatives,115,Rothfus
"Bridenstine, Jim",Republican,Oklahoma,House of Representatives,115,Bridenstine
"Collins, Chris",Republican,New York,House of Representatives,115,Collins
"Lujan Grisham, Michelle",Democratic,New Mexico,House of Representatives,115,Lujan Grisham
"Holding, George",Republican,North Carolina,House of Representatives,115,Holding
"Meadows, Mark",Republican,North Carolina,House of Representatives,115,Meadows
"Pittenger, Robert",Republican,North Carolina,House of Representatives,115,Pittenger
"Heitkamp, Heidi",Democratic,North Dakota,Senate,115,Heitkamp
"Delaney, John K.",Democratic,Maryland,House of Representatives,115,Delaney
"Messer, Luke",Republican,Indiana,House of Representatives,115,Messer
"Brooks, Susan W.",Republican,Indiana,House of Representatives,115,Brooks
"Gabbard, Tulsi",Democratic,Hawaii,House of Representatives,115,Gabbard
"Collins, Doug",Republican,Georgia,House of Representatives,115,Collins
"DeSantis, Ron",Republican,Florida,House of Representatives,115,DeSantis
"Yoho, Ted S.",Republican,Florida,House of Representatives,115,Yoho
"Esty, Elizabeth H.",Democratic,Connecticut,House of Representatives,115,Esty
"Cook, Paul",Republican,California,House of Representatives,115,Cook
"Corker, Bob",Republican,Tennessee,Senate,115,Corker
"McCaskill, Claire",Democratic,Missouri,Senate,115,McCaskill
"Graves, Tom",Republican,Georgia,House of Representatives,115,Graves
"Franken, Al",Democratic,Minnesota,Senate,115,Franken
"Duffy, Sean P.",Republican,Wisconsin,House of Representatives,115,Duffy
"Flores, Bill",Republican,Texas,House of Representatives,115,Flores
"Black, Diane",Republican,Tennessee,House of Representatives,115,Black
"Noem, Kristi L.",Republican,South Dakota,House of Representatives,115,Noem
"Mulvaney, Mick",Republican,South Carolina,House of Representatives,115,Mulvaney
"Gowdy, Trey",Republican,South Carolina,House of Representatives,115,Gowdy
"Barletta, Lou",Republican,Pennsylvania,House of Representatives,115,Barletta
"Marino, Tom",Republican,Pennsylvania,House of Representatives,115,Marino
"Meehan, Patrick",Republican,Pennsylvania,House of Representatives,115,Meehan
"Renacci, James B.",Republican,Ohio,House of Representatives,115,Renacci
"Amash, Justin",Libertarian,Michigan,House of Representatives,115,Amash
"Pompeo, Mike",Republican,Kansas,House of Representatives,115,Pompeo
"Yoder, Kevin",Republican,Kansas,House of Representatives,115,Yoder
"Rokita, Todd",Republican,Indiana,House of Representatives,115,Rokita
"Hultgren, Randy",Republican,Illinois,House of Representatives,115,Hultgren
"Labrador, Raul R.",Republican,Idaho,House of Representatives,115,Labrador
"Hanabusa, Colleen",Democratic,Hawaii,House of Representatives,115,Hanabusa
"Woodall, Rob",Republican,Georgia,House of Representatives,115,Woodall
"Ross, Dennis A.",Republican,Florida,House of Representatives,115,Ross
"Gardner, Cory",Republican,Colorado,House of Representatives,115,Gardner
"Tipton, Scott  R.",Republican,Colorado,House of Representatives,115,Tipton
"Denham, Jeff",Republican,California,House of Representatives,115,Denham
"Roby, Martha",Republican,Alabama,House of Representatives,115,Roby
"Heller, Dean",Republican,Nevada,House of Representatives,115,Heller
"Shea-Porter, Carol",Democratic,New Hampshire,House of Representatives,115,Shea-Porter
"Ellison, Keith",Democratic,Minnesota,House of Representatives,115,Ellison
"Walz, Timothy J.",Democratic,Minnesota,House of Representatives,115,Walz
"Donnelly, Joe",Democratic,Indiana,House of Representatives,115,Donnelly
"Roskam, Peter J.",Republican,Illinois,House of Representatives,115,Roskam
"Loebsack, David",Democratic,Iowa,House of Representatives,115,Loebsack
"Chaffetz, Jason",Republican,Utah,House of Representatives,115,Chaffetz
"Olson, Pete",Republican,Texas,House of Representatives,115,Olson
"Roe, David P.",Republican,Tennessee,House of Representatives,115,Roe
"Lance, Leonard",Republican,New Jersey,House of Representatives,115,Lance
"Harper, Gregg",Republican,Mississippi,House of Representatives,115,Harper
"Paulsen, Erik",Republican,Minnesota,House of Representatives,115,Paulsen
"Jenkins, Lynn",Republican,Kansas,House of Representatives,115,Jenkins
"Rooney, Thomas J.",Republican,Florida,House of Representatives,115,Rooney
"Coffman, Mike",Republican,Colorado,House of Representatives,115,Coffman
"Polis, Jared",Democratic,Colorado,House of Representatives,115,Polis
"Hunter, Duncan D.",Republican,California,House of Representatives,115,Hunter
"Tsongas, Niki",Democratic,Massachusetts,House of Representatives,115,Tsongas
"Peterson, Collin C.",Democratic,Minnesota,House of Representatives,115,Peterson
"Isakson, Johnny",Republican,Georgia,House of Representatives,115,Isakson
"Crowley, Joseph",Democratic,New York,House of Representatives,115,Crowley
"Walden, Greg",Republican,Oregon,House of Representatives,115,Walden
"Udall, Tom",Democratic,New Mexico,House of Representatives,115,Udall
"Capuano, Michael E.",Democratic,Massachusetts,House of Representatives,115,Capuano
"Ryan, Paul D.",Republican,Wisconsin,House of Representatives,115,Ryan
"Sessions, Jeff",Republican,Alabama,Senate,115,Sessions
"Enzi, Michael B.",Republican,Wyoming,Senate,115,Enzi
"Shimkus, John",Republican,Illinois,House of Representatives,115,Shimkus
"Brady, Robert A.",Democratic,Pennsylvania,House of Representatives,115,Brady
"Visclosky, Peter J.",Democratic,Indiana,House of Representatives,115,Visclosky
"Thornberry, Mac",Republican,Texas,House of Representatives,115,Thornberry
"Smith, Lamar",Republican,Texas,House of Representatives,115,Smith
"Slaughter, Louise McIntosh",Democratic,New York,House of Representatives,115,Slaughter
"Serrano, Jose E.",Democratic,New York,House of Representatives,115,Serrano
"Sensenbrenner, F. James, Jr.",Republican,Wisconsin,House of Representatives,115,Sensenbrenner
"Sanford, Mark",Republican,South Carolina,House of Representatives,115,Sanford
"Royce, Edward R.",Republican,California,House of Representatives,115,Royce
"Ros-Lehtinen, Ileana",Republican,Florida,House of Representatives,115,Ros-Lehtinen
"Rohrabacher, Dana",Republican,California,House of Representatives,115,Rohrabacher
"Roberts, Pat",Republican,Kansas,House of Representatives,115,Roberts
"Nelson, Bill",Democratic,Florida,House of Representatives,115,Nelson
"McCain, John",Republican,Arizona,House of Representatives,115,McCain
"Hatch, Orrin G.",Republican,Utah,Senate,115,Hatch
"Nolan, Richard M.",Democratic,Minnesota,House of Representatives,115,Nolan
"Cochran, Thad",Republican,Mississippi,House of Representatives,115,Cochran
"Reichert, David G.",Republican,Washington,House of Representatives,115,Reichert
"Marchant, Kenny",Republican,Texas,House of Representatives,115,Marchant
"Conaway, K. Michael",Republican,Texas,House of Representatives,115,Conaway
"Poe, Ted",Republican,Texas,House of Representatives,115,Poe
"Dent, Charles W.",Republican,Pennsylvania,House of Representatives,115,Dent
"Lipinski, Daniel",Democratic,Illinois,House of Representatives,115,Lipinski
"Price, Tom",Republican,Georgia,House of Representatives,115,Price
"Bishop, Rob",Republican,Utah,House of Representatives,115,Bishop
"Hensarling, Jeb",Republican,Texas,House of Representatives,115,Hensarling
"Murphy, Tim",Republican,Pennsylvania,House of Representatives,115,Murphy
"Pearce, Stevan",Republican,New Mexico,House of Representatives,115,Pearce
"King, Steve",Republican,Iowa,House of Representatives,115,King
"Bordallo, Madeleine Z.",Democratic,Guam,House of Representatives,115,Bordallo
"Franks, Trent",Republican,Arizona,House of Representatives,115,Franks
"Alexander, Lamar",Republican,Tennessee,Senate,115,Alexander
"Shuster, Bill",Republican,Pennsylvania,House of Representatives,115,Shuster
"Culberson, John Abney",Republican,Texas,House of Representatives,115,Culberson
"Tiberi, Patrick J.",Republican,Ohio,House of Representatives,115,Tiberi
"Clay, Wm. Lacy",Democratic,Missouri,House of Representatives,115,Clay
"Davis, Susan A.",Democratic,California,House of Representatives,115,Davis
"Flake, Jeff",Republican,Arizona,House of Representatives,115,Flake
"Conyers, John, Jr.",Democratic,Michigan,House of Representatives,115,Conyers
"Becerra, Xavier",Democratic,California,House of Representatives,115,Becerra
"Barton, Joe",Republican,Texas,House of Representatives,115,Barton
"Engel, Eliot L.",Democratic,New York,House of Representatives,115,Engel
"Duncan, John J., Jr.",Republican,Tennessee,House of Representatives,115,Duncan
"Cummings, Elijah E.",Democratic,Maryland,House of Representatives,115,Cummings
"LoBiondo, Frank A.",Republican,New Jersey,House of Representatives,115,LoBiondo
"Lewis, John",Democratic,Georgia,House of Representatives,115,Lewis
"Levin, Sander M.",Democratic,Michigan,House of Representatives,115,Levin
"Kyl, Jon",Republican,Arizona,House of Representatives,115,Kyl
"King, Peter T.",Republican,New York,House of Representatives,115,King
"Jones, Walter B., Jr.",Republican,North Carolina,House of Representatives,115,Jones
"Johnson, Sam",Republican,Texas,House of Representatives,115,Johnson
"Gutierrez, Luis V.",Democratic,Illinois,House of Representatives,115,Gutierrez
"Green, Gene",Democratic,Texas,House of Representatives,115,Green
"Goodlatte, Bob",Republican,Virginia,House of Representatives,115,Goodlatte
"Frelinghuysen, Rodney P.",Republican,New Jersey,House of Representatives,115,Frelinghuysen
"Luján, Ben Ray",Democratic,New Mexico,House of Representatives,116,Luján
"Hawley, Josh",Republican,Missouri,Senate,116,Hawley
"Welch, Peter",Democratic,Vermont,House of Representatives,116,Welch
"Connolly, Gerald E.",Democratic,Virginia,House of Representatives,116,Connolly
"Houlahan, Chrissy",Democratic,Pennsylvania,House of Representatives,116,Houlahan
"Johnson, Mike",Republican,Louisiana,House of Representatives,116,Johnson
"Tiffany, Thomas P.",Republican,Wisconsin,House of Representatives,116,Tiffany
"Miller, Carol D.",Republican,West Virginia,House of Representatives,116,Miller
"Steil, Bryan",Republican,Wisconsin,House of Representatives,116,Steil
"Schrier, Kim",Democratic,Washington,House of Representatives,116,Schrier
"Jayapal, Pramila",Democratic,Washington,House of Representatives,116,Jayapal
"Grothman, Glenn",Republican,Wisconsin,House of Representatives,116,Grothman
"Newhouse, Dan",Republican,Washington,House of Representatives,116,Newhouse
"Plaskett, Stacey E.",Democratic,Virgin Islands,House of Representatives,116,Plaskett
"Pocan, Mark",Democratic,Wisconsin,House of Representatives,116,Pocan
"DelBene, Suzan K.",Democratic,Washington,House of Representatives,116,DelBene
"Smith, Adam",Democratic,Washington,House of Representatives,116,Smith
"Moore, Gwen",Democratic,Wisconsin,House of Representatives,116,Moore
"Larsen, Rick",Democratic,Washington,House of Representatives,116,Larsen
"Cline, Ben",Republican,Virginia,House of Representatives,116,Cline
"Garcia, Sylvia R.",Democratic,Texas,House of Representatives,116,Garcia
"Roy, Chip",Republican,Texas,House of Representatives,116,Roy
"Cloud, Michael",Republican,Texas,House of Representatives,116,Cloud
"Gonzalez, Vicente",Democratic,Texas,House of Representatives,116,Gonzalez
"Beyer, Donald S.",Democratic,Virginia,House of Representatives,116,Beyer
"Babin, Brian",Republican,Texas,House of Representatives,116,Babin
"Veasey, Marc A.",Democratic,Texas,House of Representatives,116,Veasey
"Williams, Roger",Republican,Texas,House of Representatives,116,Williams
"Wittman, Robert J.",Republican,Virginia,House of Representatives,116,Wittman
"Griffith, H. Morgan",Republican,Virginia,House of Representatives,116,Griffith
"Scott, Robert C. ""Bobby""",Democratic,Virginia,House of Representatives,116,Scott
"Cuellar, Henry",Democratic,Texas,House of Representatives,116,Cuellar
"Carter, John R.",Republican,Texas,House of Representatives,116,Carter
"Doggett, Lloyd",Democratic,Texas,House of Representatives,116,Doggett
"Escobar, Veronica",Democratic,Texas,House of Representatives,116,Escobar
"Fletcher, Lizzie",Democratic,Texas,House of Representatives,116,Fletcher
"Gooden, Lance",Republican,Texas,House of Representatives,116,Gooden
"Crenshaw, Dan",Republican,Texas,House of Representatives,116,Crenshaw
"Green, Mark E.",Republican,Tennessee,House of Representatives,116,Green
"Rose, John W.",Republican,Tennessee,House of Representatives,116,Rose
"Burchett, Tim",Republican,Tennessee,House of Representatives,116,Burchett
"Johnson, Dusty",Republican,South Dakota,House of Representatives,116,Johnson
"Timmons, William R.",Republican,South Carolina,House of Representatives,116,Timmons
"Norman, Ralph",Republican,South Carolina,House of Representatives,116,Norman
"Arrington, Jodey C.",Republican,Texas,House of Representatives,116,Arrington
"Kustoff, David",Republican,Tennessee,House of Representatives,116,Kustoff
"Castro, Joaquin",Democratic,Texas,House of Representatives,116,Castro
"Weber, Randy K. Sr.",Republican,Texas,House of Representatives,116,Weber
"DesJarlais, Scott",Republican,Tennessee,House of Representatives,116,DesJarlais
"Fleischmann, Charles J. ""Chuck""",Republican,Tennessee,House of Representatives,116,Fleischmann
"Cohen, Steve",Democratic,Tennessee,House of Representatives,116,Cohen
"McCaul, Michael T.",Republican,Texas,House of Representatives,116,McCaul
"Green, Al",Democratic,Texas,House of Representatives,116,Green
"Clyburn, James E.",Democratic,South Carolina,House of Representatives,116,Clyburn
"Reschenthaler, Guy",Republican,Pennsylvania,House of Representatives,116,Reschenthaler
"Joyce, John",Republican,Pennsylvania,House of Representatives,116,Joyce
"Meuser, Daniel",Republican,Pennsylvania,House of Representatives,116,Meuser
"Dean, Madeleine",Democratic,Pennsylvania,House of Representatives,116,Dean
"Hern, Kevin",Republican,Oklahoma,House of Representatives,116,Hern
"Scanlon, Mary Gay",Democratic,Pennsylvania,House of Representatives,116,Scanlon
"Smucker, Lloyd",Republican,Pennsylvania,House of Representatives,116,Smucker
"Fitzpatrick, Brian K.",Republican,Pennsylvania,House of Representatives,116,Fitzpatrick
"Evans, Dwight",Democratic,Pennsylvania,House of Representatives,116,Evans
"Boyle, Brendan F.",Democratic,Pennsylvania,House of Representatives,116,Boyle
"Perry, Scott",Republican,Pennsylvania,House of Representatives,116,Perry
"Bonamici, Suzanne",Democratic,Oregon,House of Representatives,116,Bonamici
"Kelly, Mike",Republican,Pennsylvania,House of Representatives,116,Kelly
"Thompson, Glenn",Republican,Pennsylvania,House of Representatives,116,Thompson
"Lucas, Frank D.",Republican,Oklahoma,House of Representatives,116,Lucas
"Cole, Tom",Republican,Oklahoma,House of Representatives,116,Cole
"Wilson, Joe",Republican,South Carolina,House of Representatives,116,Wilson
"Ocasio-Cortez, Alexandria",Democratic,New York,House of Representatives,116,Ocasio-Cortez
"Morelle, Joseph D.",Democratic,New York,House of Representatives,116,Morelle
"Balderson, Troy",Republican,Ohio,House of Representatives,116,Balderson
"Espaillat, Adriano",Democratic,New York,House of Representatives,116,Espaillat
"Davidson, Warren",Republican,Ohio,House of Representatives,116,Davidson
"Stefanik, Elise M.",Republican,New York,House of Representatives,116,Stefanik
"Joyce, David P.",Republican,Ohio,House of Representatives,116,Joyce
"Beatty, Joyce",Democratic,Ohio,House of Representatives,116,Beatty
"Latta, Robert E.",Republican,Ohio,House of Representatives,116,Latta
"Jordan, Jim",Republican,Ohio,House of Representatives,116,Jordan
"Tonko, Paul",Democratic,New York,House of Representatives,116,Tonko
"Nadler, Jerrold",Democratic,New York,House of Representatives,116,Nadler
"Turner, Michael R.",Republican,Ohio,House of Representatives,116,Turner
"Kaptur, Marcy",Democratic,Ohio,House of Representatives,116,Kaptur
"Lee, Susie",Democratic,Nevada,House of Representatives,116,Lee
"Sherrill, Mikie",Democratic,New Jersey,House of Representatives,116,Sherrill
"Van Drew, Jefferson",Republican,New Jersey,House of Representatives,116,Van Drew
"Pappas, Chris",Democratic,New Hampshire,House of Representatives,116,Pappas
"Suozzi, Thomas R.",Democratic,New York,House of Representatives,116,Suozzi
"Gottheimer, Josh",Democratic,New Jersey,House of Representatives,116,Gottheimer
"Watson Coleman, Bonnie",Democratic,New Jersey,House of Representatives,116,Watson Coleman
"Norcross, Donald",Democratic,New Jersey,House of Representatives,116,Norcross
"Jeffries, Hakeem S.",Democratic,New York,House of Representatives,116,Jeffries
"Meng, Grace",Democratic,New York,House of Representatives,116,Meng
"Horsford, Steven",Democratic,Nevada,House of Representatives,116,Horsford
"Amodei, Mark E.",Republican,Nevada,House of Representatives,116,Amodei
"Clarke, Yvette D.",Democratic,New York,House of Representatives,116,Clarke
"Titus, Dina",Democratic,Nevada,House of Representatives,116,Titus
"Pallone, Frank",Democratic,New Jersey,House of Representatives,116,Pallone
"Meeks, Gregory W.",Democratic,New York,House of Representatives,116,Meeks
"Velázquez, Nydia M.",Democratic,New York,House of Representatives,116,Velázquez
"Smith, Christopher H.",Republican,New Jersey,House of Representatives,116,Smith
"Bacon, Don",Republican,Nebraska,House of Representatives,116,Bacon
"Rouzer, David",Republican,North Carolina,House of Representatives,116,Rouzer
"Adams, Alma S.",Democratic,North Carolina,House of Representatives,116,Adams
"Hudson, Richard",Republican,North Carolina,House of Representatives,116,Hudson
"Smith, Adrian",Republican,Nebraska,House of Representatives,116,Smith
"Foxx, Virginia",Republican,North Carolina,House of Representatives,116,Foxx
"Murphy, Gregory F.",Republican,North Carolina,House of Representatives,116,Murphy
"Guest, Michael",Republican,Mississippi,House of Representatives,116,Guest
"Stauber, Pete",Republican,Minnesota,House of Representatives,116,Stauber
"Omar, Ilhan",Democratic,Minnesota,House of Representatives,116,Omar
"Craig, Angie",Democratic,Minnesota,House of Representatives,116,Craig
"Tlaib, Rashida",Democratic,Michigan,House of Representatives,116,Tlaib
"Stevens, Haley M.",Democratic,Michigan,House of Representatives,116,Stevens
"Kelly, Trent",Republican,Mississippi,House of Representatives,116,Kelly
"Emmer, Tom",Republican,Minnesota,House of Representatives,116,Emmer
"Wagner, Ann",Republican,Missouri,House of Representatives,116,Wagner
"Smith, Jason",Republican,Missouri,House of Representatives,116,Smith
"Thompson, Bennie G.",Democratic,Mississippi,House of Representatives,116,Thompson
"Cleaver, Emanuel",Democratic,Missouri,House of Representatives,116,Cleaver
"Graves, Sam",Republican,Missouri,House of Representatives,116,Graves
"McCollum, Betty",Democratic,Minnesota,House of Representatives,116,McCollum
"Golden, Jared F.",Democratic,Maine,House of Representatives,116,Golden
"Pressley, Ayanna",Democratic,Massachusetts,House of Representatives,116,Pressley
"Trahan, Lori",Democratic,Massachusetts,House of Representatives,116,Trahan
"Bergman, Jack",Republican,Michigan,House of Representatives,116,Bergman
"Raskin, Jamie",Democratic,Maryland,House of Representatives,116,Raskin
"Dingell, Debbie",Democratic,Michigan,House of Representatives,116,Dingell
"Moolenaar, John R.",Republican,Michigan,House of Representatives,116,Moolenaar
"Moulton, Seth",Democratic,Massachusetts,House of Representatives,116,Moulton
"Clark, Katherine M.",Democratic,Massachusetts,House of Representatives,116,Clark
"Huizenga, Bill",Republican,Michigan,House of Representatives,116,Huizenga
"Harris, Andy",Republican,Maryland,House of Representatives,116,Harris
"Keating, William R.",Democratic,Massachusetts,House of Representatives,116,Keating
"Walberg, Tim",Republican,Michigan,House of Representatives,116,Walberg
"Pingree, Chellie",Democratic,Maine,House of Representatives,116,Pingree
"McGovern, James P.",Democratic,Massachusetts,House of Representatives,116,McGovern
"Neal, Richard E.",Democratic,Massachusetts,House of Representatives,116,Neal
"Mfume, Kweisi",Democratic,Maryland,House of Representatives,116,Mfume
"Lynch, Stephen F.",Democratic,Massachusetts,House of Representatives,116,Lynch
"Hoyer, Steny H.",Democratic,Maryland,House of Representatives,116,Hoyer
"Davids, Sharice",Democratic,Kansas,House of Representatives,116,Davids
"Baird, James R.",Republican,Indiana,House of Representatives,116,Baird
"Underwood, Lauren",Democratic,Illinois,House of Representatives,116,Underwood
"Estes, Ron",Republican,Kansas,House of Representatives,116,Estes
"Higgins, Clay",Republican,Louisiana,House of Representatives,116,Higgins
"Comer, James",Republican,Kentucky,House of Representatives,116,Comer
"LaHood, Darin",Republican,Illinois,House of Representatives,116,LaHood
"Bost, Mike",Republican,Illinois,House of Representatives,116,Bost
"Barr, Andy",Republican,Kentucky,House of Representatives,116,Barr
"Massie, Thomas",Republican,Kentucky,House of Representatives,116,Massie
"Guthrie, Brett",Republican,Kentucky,House of Representatives,116,Guthrie
"Scalise, Steve",Republican,Louisiana,House of Representatives,116,Scalise
"Foster, Bill",Democratic,Illinois,House of Representatives,116,Foster
"Carson, André",Democratic,Indiana,House of Representatives,116,Carson
"Rogers, Harold",Republican,Kentucky,House of Representatives,116,Rogers
"Casten, Sean",Democratic,Illinois,House of Representatives,116,Casten
"García, Jesús G. ""Chuy""",Democratic,Illinois,House of Representatives,116,García
"Fulcher, Russ",Republican,Idaho,House of Representatives,116,Fulcher
"McBath, Lucy",Democratic,Georgia,House of Representatives,116,McBath
"Krishnamoorthi, Raja",Democratic,Illinois,House of Representatives,116,Krishnamoorthi
"Allen, Rick W.",Republican,Georgia,House of Representatives,116,Allen
"Loudermilk, Barry",Republican,Georgia,House of Representatives,116,Loudermilk
"Schneider, Bradley Scott",Democratic,Illinois,House of Representatives,116,Schneider
"Scott, Austin",Republican,Georgia,House of Representatives,116,Scott
"Johnson, Henry C. ""Hank""",Democratic,Georgia,House of Representatives,116,Johnson
"Quigley, Mike",Democratic,Illinois,House of Representatives,116,Quigley
"Kelly, Robin L.",Democratic,Illinois,House of Representatives,116,Kelly
"Simpson, Michael K.",Republican,Idaho,House of Representatives,116,Simpson
"Schakowsky, Janice D.",Democratic,Illinois,House of Representatives,116,Schakowsky
"Davis, Danny K.",Democratic,Illinois,House of Representatives,116,Davis
"Bishop, Sanford D.",Democratic,Georgia,House of Representatives,116,Bishop
"Scott, David",Democratic,Georgia,House of Representatives,116,Scott
"Case, Ed",Democratic,Hawaii,House of Representatives,116,Case
"Steube, W. Gregory",Republican,Florida,House of Representatives,116,Steube
"Mast, Brian J.",Republican,Florida,House of Representatives,116,Mast
"Soto, Darren",Democratic,Florida,House of Representatives,116,Soto
"Rutherford, John H.",Republican,Florida,House of Representatives,116,Rutherford
"Dunn, Neal P.",Republican,Florida,House of Representatives,116,Dunn
"Carter, Earl L. ""Buddy""",Republican,Georgia,House of Representatives,116,Carter
"Frankel, Lois",Democratic,Florida,House of Representatives,116,Frankel
"Wilson, Frederica S.",Democratic,Florida,House of Representatives,116,Wilson
"Webster, Daniel",Republican,Florida,House of Representatives,116,Webster
"Buchanan, Vern",Republican,Florida,House of Representatives,116,Buchanan
"Castor, Kathy",Democratic,Florida,House of Representatives,116,Castor
"Bilirakis, Gus M.",Republican,Florida,House of Representatives,116,Bilirakis
"Wasserman Schultz, Debbie",Democratic,Florida,House of Representatives,116,Wasserman Schultz
"Diaz-Balart, Mario",Republican,Florida,House of Representatives,116,Diaz-Balart
"Hayes, Jahana",Democratic,Connecticut,House of Representatives,116,Hayes
"Crow, Jason",Democratic,Colorado,House of Representatives,116,Crow
"Neguse, Joe",Democratic,Colorado,House of Representatives,116,Neguse
"Levin, Mike",Democratic,California,House of Representatives,116,Levin
"Correa, J. Luis",Democratic,California,House of Representatives,116,Correa
"Barragán, Nanette Diaz",Democratic,California,House of Representatives,116,Barragán
"Peters, Scott H.",Democratic,California,House of Representatives,116,Peters
"Vargas, Juan",Democratic,California,House of Representatives,116,Vargas
"Takano, Mark",Democratic,California,House of Representatives,116,Takano
"Courtney, Joe",Democratic,Connecticut,House of Representatives,116,Courtney
"Himes, James A.",Democratic,Connecticut,House of Representatives,116,Himes
"Larson, John B.",Democratic,Connecticut,House of Representatives,116,Larson
"DeGette, Diana",Democratic,Colorado,House of Representatives,116,DeGette
"Waters, Maxine",Democratic,California,House of Representatives,116,Waters
"Norton, Eleanor Holmes",Democratic,District of Columbia,House of Representatives,116,Norton
"Calvert, Ken",Republican,California,House of Representatives,116,Calvert
"DeLauro, Rosa L.",Democratic,Connecticut,House of Representatives,116,DeLauro
"Cisneros, Gilbert Ray",Democratic,California,House of Representatives,116,Cisneros
"Gomez, Jimmy",Democratic,California,House of Representatives,116,Gomez
"Carbajal, Salud O.",Democratic,California,House of Representatives,116,Carbajal
"Panetta, Jimmy",Democratic,California,House of Representatives,116,Panetta
"Khanna, Ro",Democratic,California,House of Representatives,116,Khanna
"Torres, Norma J.",Democratic,California,House of Representatives,116,Torres
"Lieu, Ted",Democratic,California,House of Representatives,116,Lieu
"Aguilar, Pete",Democratic,California,House of Representatives,116,Aguilar
"Ruiz, Raul",Democratic,California,House of Representatives,116,Ruiz
"Brownley, Julia",Democratic,California,House of Representatives,116,Brownley
"Swalwell, Eric",Democratic,California,House of Representatives,116,Swalwell
"Chu, Judy",Democratic,California,House of Representatives,116,Chu
"Sherman, Brad",Democratic,California,House of Representatives,116,Sherman
"Costa, Jim",Democratic,California,House of Representatives,116,Costa
"Sánchez, Linda T.",Democratic,California,House of Representatives,116,Sánchez
"Lofgren, Zoe",Democratic,California,House of Representatives,116,Lofgren
"Harder, Josh",Democratic,California,House of Representatives,116,Harder
"Stanton, Greg",Democratic,Arizona,House of Representatives,116,Stanton
"Biggs, Andy",Republican,Arizona,House of Representatives,116,Biggs
"DeSaulnier, Mark",Democratic,California,House of Representatives,116,DeSaulnier
"Westerman, Bruce",Republican,Arkansas,House of Representatives,116,Westerman
"Hill, J. French",Republican,Arkansas,House of Representatives,116,Hill
"Radewagen, Aumua Amata Coleman",Republican,American Samoa,House of Representatives,116,Radewagen
"Palmer, Gary J.",Republican,Alabama,House of Representatives,116,Palmer
"Bera, Ami",Democratic,California,House of Representatives,116,Bera
"Huffman, Jared",Democratic,California,House of Representatives,116,Huffman
"LaMalfa, Doug",Republican,California,House of Representatives,116,LaMalfa
"Garamendi, John",Democratic,California,House of Representatives,116,Garamendi
"Schweikert, David",Republican,Arizona,House of Representatives,116,Schweikert
"Gosar, Paul A.",Republican,Arizona,House of Representatives,116,Gosar
"Womack, Steve",Republican,Arkansas,House of Representatives,116,Womack
"Crawford, Eric A. ""Rick""",Republican,Arkansas,House of Representatives,116,Crawford
"Sewell, Terri A.",Democratic,Alabama,House of Representatives,116,Sewell
"McClintock, Tom",Republican,California,House of Representatives,116,McClintock
"Matsui, Doris O.",Democratic,California,House of Representatives,116,Matsui
"Pelosi, Nancy",Democratic,California,House of Representatives,116,Pelosi
"Thompson, Mike",Democratic,California,House of Representatives,116,Thompson
"Aderholt, Robert B.",Republican,Alabama,House of Representatives,116,Aderholt
"Rogers, Mike D.",Republican,Alabama,House of Representatives,116,Rogers
"Curtis, John R.",Republican,Utah,House of Representatives,116,Curtis
