name,partyName,state,chamber,congress,last_name
"Cleaver, Emanuel",Democratic,Missouri,House of Representatives,115,Cleaver
"Graves, Sam",Republican,Missouri,House of Representatives,115,Graves
"McCollum, Betty",Democratic,Minnesota,House of Representatives,115,McCollum
"Bergman, Jack",Republican,Michigan,House of Representatives,115,Bergman
"Raskin, Jamie",Democratic,Maryland,House of Representatives,115,Raskin
"Dingell, Debbie",Democratic,Michigan,House of Representatives,115,Dingell
"Moolenaar, John R.",Republican,Michigan,House of Representatives,115,Moolenaar
"Moulton, Seth",Democratic,Massachusetts,House of Representatives,115,Moulton
"Clark, Katherine M.",Democratic,Massachusetts,House of Representatives,115,Clark
"Huizenga, Bill",Republican,Michigan,House of Representatives,115,Huizenga
"Harris, Andy",Republican,Maryland,House of Representatives,115,Harris
"Keating, William R.",Democratic,Massachusetts,House of Representatives,115,Keating
"Walberg, Tim",Republican,Michigan,House of Representatives,115,Walberg
"Pingree, Chellie",Democratic,Maine,House of Representatives,115,Pingree
"McGovern, James P.",Democratic,Massachusetts,House of Representatives,115,McGovern
"Neal, Richard E.",Democratic,Massachusetts,House of Representatives,115,Neal
"Lynch, Stephen F.",Democratic,Massachusetts,House of Representatives,115,Lynch
"Hoyer, Steny H.",Democratic,Maryland,House of Representatives,115,Hoyer
"Estes, Ron",Republican,Kansas,House of Representatives,115,Estes
"Higgins, Clay",Republican,Louisiana,House of Representatives,115,Higgins
"Comer, James",Republican,Kentucky,House of Representatives,115,Comer
"LaHood, Darin",Republican,Illinois,House of Representatives,115,LaHood
"Bost, Mike",Republican,Illinois,House of Representatives,115,Bost
"Barr, Andy",Republican,Kentucky,House of Representatives,115,Barr
"Massie, Thomas",Republican,Kentucky,House of Representatives,115,Massie
"Guthrie, Brett",Republican,Kentucky,House of Representatives,115,Guthrie
"Scalise, Steve",Republican,Louisiana,House of Representatives,115,Scalise
"Foster, Bill",Democratic,Illinois,House of Representatives,115,Foster
"Carson, André",Democratic,Indiana,House of Representatives,115,Carson
"Rogers, Harold",Republican,Kentucky,House of Representatives,115,Rogers
"Krishnamoorthi, Raja",Democratic,Illinois,House of Representatives,115,Krishnamoorthi
"Allen, Rick W.",Republican,Georgia,House of Representatives,115,Allen
"Loudermilk, Barry",Republican,Georgia,House of Representatives,115,Loudermilk
"Schneider, Bradley Scott",Democratic,Illinois,House of Representatives,115,Schneider
"Scott, Austin",Republican,Georgia,House of Representatives,115,Scott
"Johnson, Henry C. ""Hank""",Democratic,Georgia,House of Representatives,115,Johnson
"Quigley, Mike",Democratic,Illinois,House of Representatives,115,Quigley
"Kelly, Robin L.",Democratic,Illinois,House of Representatives,115,Kelly
"Simpson, Michael K.",Republican,Idaho,House of Representatives,115,Simpson
"Schakowsky, Janice D.",Democratic,Illinois,House of Representatives,115,Schakowsky
"Davis, Danny K.",Democratic,Illinois,House of Representatives,115,Davis
"Bishop, Sanford D.",Democratic,Georgia,House of Representatives,115,Bishop
"Scott, David",Democratic,Georgia,House of Representatives,115,Scott
"Mast, Brian J.",Republican,Florida,House of Representatives,115,Mast
"Soto, Darren",Democratic,Florida,House of Representatives,115,Soto
"Rutherford, John H.",Republican,Florida,House of Representatives,115,Rutherford
"Dunn, Neal P.",Republican,Florida,House of Representatives,115,Dunn
"Carter, Earl L. ""Buddy""",Republican,Georgia,House of Representatives,115,Carter
"Frankel, Lois",Democratic,Florida,House of Representatives,115,Frankel
"Wilson, Frederica S.",Democratic,Florida,House of Representatives,115,Wilson
"Webster, Daniel",Republican,Florida,House of Representatives,115,Webster
"Buchanan, Vern",Republican,Florida,House of Representatives,115,Buchanan
"Castor, Kathy",Democratic,Florida,House of Representatives,115,Castor
"Bilirakis, Gus M.",Republican,Florida,House of Representatives,115,Bilirakis
"Wasserman Schultz, Debbie",Democratic,Florida,House of Representatives,115,Wasserman Schultz
"Diaz-Balart, Mario",Republican,Florida,House of Representatives,115,Diaz-Balart
"Correa, J. Luis",Democratic,California,House of Representatives,115,Correa
"Barragán, Nanette Diaz",Democratic,California,House of Representatives,115,Barragán
"Peters, Scott H.",Democratic,California,House of Representatives,115,Peters
"Vargas, Juan",Democratic,California,House of Representatives,115,Vargas
"Takano, Mark",Democratic,California,House of Representatives,115,Takano
"Courtney, Joe",Democratic,Connecticut,House of Representatives,115,Courtney
